3.33,-6927.25,0
480727,333.33,-0.00,0
480730,333.33,-5231.92,0
480732,500.00,0.00,0
480735,333.33,0.00,0
480737,500.00,6844.00,0
480740,333.33,6139.36,0
480742,500.00,-0.00,0
480744,500.00,-0.00,0
480747,333.33,-0.00,0
480749,500.00,-12264.98,0
480752,333.33,0.00,0
480754,500.00,0.00,0
480757,333.33,-6132.75,0
480759,500.00,6132.75,0
480762,333.33,-0.00,0
480764,500.00,-0.00,0
480768,250.00,-0.00,0
480770,500.00,6132.75,0
480773,333.33,0.00,0
480775,500.00,0.00,0
480777,500.00,7081.13,0
480780,333.33,6139.36,0
480782,500.00,-0.00,0
480785,333.33,-0.00,0
480787,500.00,-0.00,0
480789,500.00,6139.36,0
480792,333.33,0.00,0
480794,500.00,0.00,0
480797,333.33,58.65,0
480799,500.00,2643.64,0
480802,333.33,-0.00,0
480804,500.00,-0.00,0
480806,500.00,-0.00,0
480809,333.33,2643.64,0
480812,333.33,3410.02,0
480815,333.33,0.00,0
480817,500.00,7057.15,0
480820,333.33,2643.64,0
480822,500.00,-0.00,0
480825,333.33,-0.00,0
480827,500.00,-0.00,0
480830,500.00,-5286.85,0
480832,333.33,0.00,0
480834,500.00,0.00,0
480837,333.33,6844.02,0
480839,500.00,-6132.70,0
480842,333.33,-0.00,0
480844,500.00,-0.00,0
480847,333.33,-0.00,0
480849,500.00,-12264.98,0
480852,333.33,0.00,0
480855,333.33,0.00,0
480857,500.00,7043.49,0
480860,333.33,-10573.71,0
480863,333.33,-0.00,0
480865,500.00,-0.00,0
480868,333.33,-3516.62,0
480870,500.00,7053.82,0
480873,333.33,0.00,0
480875,500.00,0.00,0
480877,500.00,-13378.99,0
480880,333.33,12278.72,0
480883,333.33,-0.00,0
480885,500.00,-0.00,0
480888,500.00,-10570.40,0
480890,333.33,7081.13,0
480893,333.33,0.00,0
480896,333.33,0.00,0
480898,500.00,-5231.92,0
480901,333.33,12278.80,0
480904,333.33,-0.00,0
480906,500.00,-0.00,0
480908,500.00,-2616.17,0
480911,333.33,7926.96,0
480914,333.33,0.00,0
480916,500.00,0.00,0
480918,500.00,-5286.85,0
480921,333.33,-6926.61,0
480924,333.33,-0.00,0
480926,500.00,-0.00,0
480928,500.00,10573.73,0
480931,333.33,911.10,0
480933,500.00,0.00,0
480936,333.33,13.78,0
480939,333.33,12265.09,0
480942,333.33,-6820.04,0
480944,500.00,-0.00,0
480947,333.33,-0.00,0
480949,500.00,6132.75,0
480952,333.33,-13558.50,0
480955,500.00,0.00,0
480957,333.33,6844.00,0
480959,500.00,12278.72,0
480962,333.33,-0.00,0
480964,500.00,-0.00,0
480967,333.33,-0.00,0
480969,500.00,-5231.92,0
480972,333.33,0.00,0
480974,500.00,0.00,0
480976,500.00,-6345.83,0
480979,333.33,12265.09,0
480983,250.00,-0.00,0
480985,500.00,-0.00,0
480988,500.00,-426.25,0
480990,333.33,-12264.98,0
480993,333.33,0.00,0
480995,500.00,0.00,0
480997,500.00,-12691.23,0
481000,333.33,6139.36,0
481003,333.33,-0.00,0
481005,500.00,-0.00,0
481007,500.00,-5231.92,0
481010,333.33,917.76,0
481013,333.33,0.00,0
481015,500.00,0.00,0
481017,500.00,7081.13,0
481020,333.33,6139.36,0
481022,500.00,-0.00,0
481026,250.00,-0.00,0
481028,500.00,6139.36,0
481031,333.33,-6559.01,0
481033,500.00,0.00,0
481036,333.33,0.00,0
481038,500.00,-5286.85,0
481041,333.33,-2643.43,0
481043,500.00,-0.00,0
481046,333.33,-0.00,0
481048,500.00,-12264.98,0
481051,333.33,7129.40,0
481053,500.00,0.00,0
481056,333.33,0.00,0
481058,500.00,-5286.85,0
481061,500.00,-6074.10,0
481063,333.33,-0.00,0
481067,250.00,-0.00,0
481069,500.00,12278.72,0
481072,333.33,7074.46,0
481074,500.00,0.00,0
481076,500.00,2.55,0
481079,333.33,12278.72,0
481081,500.00,-6820.04,0
481084,333.33,-0.00,0
481086,500.00,-0.00,0
481089,333.33,-10573.71,0
481092,333.33,0.00,0
481094,500.00,0.00,0
481096,500.00,254.38,0
481099,333.33,10573.73,0
481101,500.00,-0.00,0
481104,333.33,-0.00,0
481106,500.00,-0.00,0
481108,500.00,-5286.85,0
481112,250.00,7046.49,0
481115,333.33,0.00,0
481117,500.00,7074.47,0
481120,500.00,2643.64,0
481122,333.33,-0.00,0
481124,500.00,-0.00,0
481127,333.33,-0.00,0
481129,500.00,10573.73,0
481132,333.33,0.00,0
481134,500.00,0.00,0
481137,500.00,-13130.81,0
481139,333.33,-2643.43,0
481142,333.33,-0.00,0
481144,500.00,-0.00,0
481147,333.33,-0.00,0
481149,500.00,2643.64,0
481153,250.00,0.00,0
481155,500.00,0.00,0
481157,500.00,7500.72,0
481160,333.33,-2616.17,0
481162,500.00,-0.00,0
481165,333.33,-0.00,0
481167,500.00,-0.00,0
481170,333.33,2643.64,0
481172,500.00,0.00,0
481174,500.00,0.00,0
481177,333.33,309.36,0
481179,500.00,-6132.70,0
481182,333.33,-0.00,0
481184,500.00,-0.00,0
481187,333.33,-0.00,0
481189,500.00,12278.72,0
481192,333.33,0.00,0
481195,333.33,0.00,0
481197,500.00,3475.28,0
481200,333.33,-12264.98,0
481203,333.33,-0.00,0
481205,500.00,-0.00,0
481207,500.00,-6926.61,0
481210,333.33,-6132.75,0
481213,333.33,0.00,0
481215,500.00,0.00,0
481217,500.00,6844.02,0
481220,333.33,2643.64,0
481222,500.00,-0.00,0
481225,333.33,-0.00,0
481227,500.00,-427.54,0
481230,333.33,-6160.01,0
481232,500.00,0.00,0
481235,333.33,0.00,0
481238,333.33,86.13,0
481240,500.00,12265.09,0
481243,333.33,-0.00,0
481245,500.00,-0.00,0
481248,333.33,-3537.24,0
481250,500.00,7081.08,0
481253,333.33,0.00,0
481255,500.00,0.00,0
481258,333.33,3581.84,0
481260,500.00,6132.75,0
481263,333.33,-0.00,0
481265,500.00,-0.00,0
481268,500.00,-10570.40,0
481270,333.33,7926.97,0
481273,333.33,0.00,0
481275,500.00,0.00,0
481277,500.00,-6132.75,0
481281,250.00,6132.75,0
481284,333.33,-0.00,0
481286,500.00,-0.00,0
481288,500.00,12278.72,0
481291,333.33,63.61,0
481293,500.00,0.00,0
481296,333.33,0.00,0
481298,500.00,2643.64,0
481301,333.33,-2643.43,0
481303,500.00,-0.00,0
481306,333.33,-0.00,0
481308,500.00,-6132.70,0
481311,333.33,7081.08,0
481313,500.00,0.00,0
481316,500.00,0.00,0
481318,333.33,-10573.71,0
481321,333.33,-426.25,0
481324,333.33,-0.00,0
481327,500.00,-0.00,0
481329,333.33,-10570.40,0
481332,333.33,7056.91,0
481334,500.00,0.00,0
481336,500.00,467.50,0
481339,333.33,-10570.40,0
481342,333.33,-0.00,0
481344,500.00,-0.00,0
481346,500.00,-0.00,0
481349,333.33,-5231.92,0
481351,500.00,6846.68,0
481354,333.33,0.00,0
481356,500.00,5352.11,0
481359,333.33,6139.36,0
481361,500.00,-0.00,0
481364,333.33,-0.00,0
481367,333.33,-0.00,0
481370,333.33,-10573.71,0
481372,500.00,0.00,0
481375,333.33,0.00,0
481377,500.00,911.16,0
481379,500.00,-10570.40,0
481382,333.33,-0.00,0
481385,333.33,-0.00,0
481387,500.00,-0.00,0
481389,500.00,12278.72,0
481392,333.33,0.00,0
481394,500.00,0.00,0
481397,333.33,65.26,0
481399,500.00,5286.87,0
481402,333.33,-0.00,0
481404,500.00,-0.00,0
481406,500.00,-0.00,0
481410,250.00,-2643.43,0
481412,500.00,0.00,0
481415,333.33,0.00,0
481417,500.00,59.48,0
481419,500.00,5286.87,0
481422,333.33,-0.00,0
481424,500.00,-0.00,0
481427,333.33,-0.00,0
481429,500.00,6139.36,0
481432,333.33,6820.04,0
481434,500.00,0.00,0
481437,333.33,7081.13,0
481439,500.00,12278.72,0
481442,333.33,-0.00,0
481444,500.00,-0.00,0
481447,333.33,-0.00,0
481449,500.00,-10570.40,0
481453,250.00,0.00,0
481455,500.00,0.00,0
481457,500.00,-13554.17,0
481460,333.33,-2616.17,0
481463,333.33,-0.00,0
481465,500.00,-0.00,0
481467,500.00,-10336.63,0
481470,333.33,935.11,0
481473,333.33,0.00,0
481475,500.00,0.00,0
481477,500.00,917.76,0
481480,333.33,6139.36,0
481482,500.00,-0.00,0
481485,333.33,-0.00,0
481487,500.00,-5221.83,0
481490,333.33,7057.15,0
481492,500.00,0.00,0
481496,250.00,0.00,0
481498,500.00,171.82,0
481500,500.00,-5231.92,0
481503,333.33,-0.00,0
481505,500.00,-0.00,0
481508,333.33,-7163.69,0
481510,500.00,65.27,0
481513,333.33,0.00,0
481515,500.00,0.00,0
481517,500.00,7507.38,0
481520,333.33,-5231.92,0
481523,333.33,-0.00,0
481525,500.00,-0.00,0
481527,500.00,-10570.40,0
481530,333.33,938.42,0
481533,333.33,0.00,0
481536,333.33,0.00,0
481538,500.00,-10573.71,0
481541,333.33,12265.09,0
481544,333.33,-0.00,0
481546,500.00,-0.00,0
481548,500.00,-5231.92,0
481551,333.33,917.76,0
481553,500.00,0.00,0
481556,333.33,0.00,0
481558,500.00,2643.64,0
481561,333.33,6154.02,0
481563,500.00,-0.00,0
481566,333.33,-0.00,0
481568,500.00,-10573.71,0
481571,333.33,96.24,0
481573,500.00,0.00,0
481575,500.00,0.00,0
481579,250.00,5286.87,0
481581,500.00,-12041.64,0
481584,333.33,-0.00,0
481586,500.00,-0.00,0
481589,333.33,-2616.17,0
481591,500.00,911.10,0
481594,333.33,0.00,0
481596,500.00,0.91,0
481599,333.33,-5231.92,0
481601,500.00,-10230.06,0
481604,333.33,-0.00,0
481606,500.00,-0.00,0
481609,333.33,5286.87,0
481611,500.00,-5940.89,0
481614,333.33,0.00,0
481616,500.00,911.16,0
481619,333.33,-5231.92,0
481622,333.33,-0.00,0
481625,333.33,-0.00,0
481627,500.00,-0.00,0
481630,500.00,2643.64,0
481632,333.33,7033.17,0
481635,333.33,0.00,0
481637,500.00,7081.08,0
481639,500.00,5286.87,0
481642,333.33,-0.00,0
481644,500.00,-0.00,0
481647,333.33,-0.00,0
481649,500.00,-6132.70,0
481652,333.33,0.00,0
481654,500.00,0.00,0
481656,500.00,65.26,0
481659,333.33,-2643.43,0
481662,500.00,-0.00,0
